log(psoda),prpblck,prppov,log(income),log(hseval)
0.049218023,0.1711542,0.0365789,4.648691705,5.171141151
0.025305865,0.1711542,0.0365789,4.648691705,5.171141151
0.025305865,0.0473602,0.0879072,4.61451757,5.228400359
0.049218023,0.0528394,0.0591227,4.702137461,5.234517284
0.049218023,0.03448,0.0254145,4.859060201,5.396373728
0.025305865,0.0591327,0.0835001,4.648506378,5.170261715
0.068185862,0.0186773,0.0292349,4.792783778,5.32776749
0.068185862,0.004906,0.0337599,4.729610199,5.29841638
0.071882007,0.9210559,0.2036816,4.495738547,5.016197354
0.068185862,0.9210559,0.2036816,4.495738547,5.016197354
0.025305865,0.9210559,0.2036816,4.495738547,5.016197354
0.025305865,0.9210559,0.2036816,4.495738547,5.016197354
0.021189299,0.9210559,0.2036816,4.495738547,5.016197354
0.068185862,0.0139109,0.0845399,4.586238379,5.28171497
0.06069784,0.0102124,0.0598162,4.782880927,5.451479405
0.103803721,0.0102124,0.0598162,4.782880927,5.451479405
0.025305865,0.0060904,0.0386507,4.680253906,5.224533063
0.025305865,0.0035406,0.1118771,4.564725228,5.139879086
0.025305865,0.0104519,0.0608489,4.633690596,5.221414238
0.079181246,0.0073866,0.0135908,4.897764505,5.389874558
-0.022276395,0.0073866,0.0135908,4.897764505,5.389874558
0.045322979,0.120063,0.0322987,4.814886577,5.29841638
0.008600172,0.4336102,0.0765275,4.755058835,5.390758529
0.025305865,0.022127,0.0927505,4.609797104,5.239299479
0.103803721,0.022127,0.0927505,4.609797104,5.239299479
0.068185862,0.6963651,0.1611239,4.522522478,5.076640444
0.071882007,0.0557306,0.0403421,4.772805617,5.304490528
0.025305865,0.0557306,0.0403421,4.772805617,5.304490528
0.068185862,0.0323523,0.026696,4.759093441,5.339650158
0.025305865,0.0323523,0.026696,4.759093441,5.339650158
0.049218023,0.0323523,0.026696,4.759093441,5.339650158
0.041392685,0.2046583,0.1691744,4.489635098,5.212187604
0.041392685,0.0050961,0.0085349,4.918014601,5.465977368
0.025305865,0.3598951,0.0931701,4.67886422,5.244524512
0.025305865,0.3598951,0.0931701,4.67886422,5.244524512
0.049218023,0.3598951,0.0931701,4.67886422,5.244524512
-0.017728767,0.636803,0.0816689,4.683128123,5.1532049
0.049218023,0.0048807,0.0182062,4.732079989,5.293362555
0.025305865,0.0048807,0.0182062,4.732079989,5.293362555
0.041392685,0.0319843,0.0367507,4.747240853,5.320354033
0.071882007,0.0319843,0.0367507,4.747240853,5.320354033
0.037426498,0.0046135,0.038405,4.67314076,5.242044239
0.004321374,0.0032339,0.023415,4.614855049,5.271376872
0.049218023,0.131472,0.0182582,4.798837028,5.311753861
0.029383778,0.0131481,0.0155316,5.135224909,5.675228254
0.025305865,0.0668875,0.0278037,4.734127473,5.207634367
0.008600172,0.0668875,0.0278037,4.734127473,5.207634367
0.008600172,0.0318239,0.0257156,4.765958981,5.335457901
0.025305865,0.0362969,0.0334931,4.707297592,5.247482261
0.008600172,0.0362969,0.0334931,4.707297592,5.247482261
0.025305865,0.0362969,0.0334931,4.707297592,5.247482261
0.025305865,0.0485866,0.1676967,4.467149153,5.218535505
0.068185862,0.0485866,0.1676967,4.467149153,5.218535505
0.025305865,0.0424391,0.0165798,4.884733075,5.395326393
-0.017728767,0.0392887,0.1583852,4.485536883,5.204933522
0.068185862,0.0235403,0.0518435,4.77376451,5.323870607
0.049218023,0.0422394,0.0474361,4.684396478,5.191171456
0.025305865,0.0422394,0.0474361,4.684396478,5.191171456
0.008600172,0.6599238,0.3292359,4.307987817,5.121559844
0.025305865,0.8991615,0.4184797,4.201915783,4.851869601
0.025305865,0.214263,0.2703646,4.393978603,5.166726056
0.049218023,0.214263,0.2703646,4.393978603,5.166726056
0.021189299,0.0627508,0.1446121,4.508408504,5.070407322
0.025305865,0.0627508,0.1446121,4.508408504,5.070407322
0.025305865,0.4554334,0.2722042,4.383617915,4.979548375
0.025305865,0.4554334,0.2722042,4.383617915,4.979548375
0.071882007,0.9624618,0.3279841,4.33825723,4.910090546
0.049218023,0.035449,0.0516433,4.652081878,5.208978517
0.025305865,0.035449,0.0516433,4.652081878,5.208978517
0.008600172,0.0144769,0.049851,4.71139382,5.267875419
0.025305865,0.6982505,0.1237119,4.554271049,5.06669855
0.025305865,0.3724901,0.1934995,4.453578227,5.069298012
0.075546961,0.3724901,0.1934995,4.453578227,5.069298012
-0.040958608,0.0881337,0.1346107,4.503613662,5.126131407
0.103803721,0.3865509,0.0504637,4.670273692,5.144574208
0.025305865,0.0067308,0.0334977,4.704708047,5.203576775
0.025305865,0.4058144,0.0600893,4.671783574,5.141449773
0.103803721,0.1115545,0.1091816,4.572488232,5.223236273
-0.040958608,0.1115545,0.1091816,4.572488232,5.223236273
0.068185862,0.4766138,0.2363158,4.473340964,5.09131516
0.025305865,0.4766138,0.2363158,4.473340964,5.09131516
0.075546961,0.5331899,0.1597511,4.553045171,5.095518042
0.068185862,0.5331899,0.1597511,4.553045171,5.095518042
0.025305865,0.1520273,0.2041798,4.485394873,5.064457989
0.025305865,0.1520273,0.2041798,4.485394873,5.064457989
0.025305865,0.0462981,0.15092,4.537100972,5.11991541
0.025305865,0.0462981,0.15092,4.537100972,5.11991541
0.025305865,0.0039605,0.0262524,4.811695626,5.347330015
0.017033339,0.000751,0.0639788,4.630986911,5.107888025
0.049218023,0.0166947,0.0344314,4.714732008,5.280805928
0.025305865,0.0166947,0.0344314,4.714732008,5.280805928
0.103803721,0.031873,0.035029,4.808663268,5.4407517
0.103803721,0,0.0361626,4.751125072,5.33725954
0.025305865,0,0.0361626,4.751125072,5.33725954
0.008600172,0.0115862,0.0152639,4.823272033,5.33264041
0.025305865,0.0047325,0.0277091,4.788783304,5.307709923
0.025305865,0.0099893,0.0229062,4.812913357,5.383456297
0.025305865,0.0099893,0.0229062,4.812913357,5.383456297
0.025305865,0.0099893,0.0229062,4.812913357,5.383456297
0.068185862,0.0099893,0.0229062,4.812913357,5.383456297
0.025305865,0.0099893,0.0229062,4.812913357,5.383456297
0.025305865,0.0099893,0.0229062,4.812913357,5.383456297
0.025305865,0.3694827,0.2851345,4.341988169,5.029383778
0.068185862,0.5422576,0.1285608,4.500222748,5.152899596
0.025305865,0.4859012,0.2214113,4.415624302,5.045714059
0.049218023,0.2498173,0.0698492,4.665158685,5.271609301
0.068185862,0.2498173,0.0698492,4.665158685,5.271609301
0.049218023,0.2498173,0.0698492,4.665158685,5.271609301
0.041392685,0.2498173,0.0698492,4.665158685,5.271609301
0.068185862,0.0066904,0.0250457,4.723611629,5.311117843
0.049218023,0.0066904,0.0250457,4.723611629,5.311117843
0.025305865,0.0196445,0.0604782,4.643630306,5.290479813
0.008600172,0.0196445,0.0604782,4.643630306,5.290479813
0.079181246,0.0394043,0.0331476,4.710015764,5.263636069
0.025305865,0.0124784,0.0180528,4.830691296,5.43264866
0.049218023,0.0308927,0.0439196,4.712321332,5.267406419
0.025305865,0.0282081,0.0612684,4.610234175,5.24674471
0.025305865,0.0125818,0.022337,4.725650324,5.316599302
0.025305865,0.0024702,0.0217573,4.82567922,5.441380885
-0.022276395,0.0044543,0.0303532,4.795942551,5.389874558
0.049218023,0.0044543,0.0303532,4.795942551,5.389874558
0.025305865,0.0044543,0.0303532,4.795942551,5.389874558
0.025305865,0.0105846,0.0253538,4.834331674,5.403463701
0.068185862,0.0083144,0.0364397,4.709753184,5.28057837
0.029383778,0.0083144,0.0364397,4.709753184,5.28057837
-0.022276395,0.3173136,0.1301452,4.609124648,5.254306332
0.071882007,0.3173136,0.1301452,4.609124648,5.254306332
0.041392685,0.0331428,0.0397589,4.681186947,5.230448921
0.025305865,0.1591312,0.0376937,4.660590401,5.218797998
0.049218023,0.1591312,0.0376937,4.660590401,5.218797998
-0.040958608,0.1591312,0.0376937,4.660590401,5.218797998
0.025305865,0.1591312,0.0376937,4.660590401,5.218797998
0.025305865,0.1591312,0.0376937,4.660590401,5.218797998
0.008600172,0.0317188,0.0254828,4.793748489,5.338057875
0.025305865,0.0801578,0.0355372,4.761153232,5.24674471
-0.022276395,0.0801578,0.0355372,4.761153232,5.24674471
0.049218023,0.009186,0.0249824,4.763719921,5.226084116
0.025305865,0.009186,0.0249824,4.763719921,5.226084116
-0.040958608,0.009186,0.0249824,4.763719921,5.226084116
0.025305865,0.026525,0.0342552,4.730741912,5.213783299
-0.040958608,0.026525,0.0342552,4.730741912,5.213783299
0.025305865,0.0497413,0.0502388,4.626966204,5.109240969
-0.040958608,0.0497413,0.0502388,4.626966204,5.109240969
0.025305865,0.1962366,0.1456063,4.547491645,5.169086357
-0.040958608,0.0428778,0.0292281,4.782515621,5.246498581
0.049218023,0.0428778,0.0292281,4.782515621,5.246498581
0.041392685,0.0147634,0.0162512,4.855040381,5.354876423
0.025305865,0.3015262,0.0642415,4.665318271,5.135768515
0.037426498,0.0048832,0.0148394,4.747543863,5.25139485
0.049218023,0.0048832,0.0148394,4.747543863,5.25139485
0.025305865,0.0570457,0.0615117,4.669316881,5.206825876
0.025305865,0.001765,0.0200583,4.801108591,5.268343914
-0.070581074,0.0115167,0.033978,4.705076482,5.215901813
-0.004364805,0.0115167,0.033978,4.705076482,5.215901813
0.037426498,0.0118611,0.03756,4.704390771,5.17868924
-0.036212173,0.0118611,0.03756,4.704390771,5.17868924
-0.008773924,0.0111902,0.0440123,4.667191363,5.246990699
-0.022276395,0.0111902,0.0440123,4.667191363,5.246990699
0.064457989,0.0069724,0.0417686,4.713280485,5.194236749
0.025305865,0.0069724,0.0417686,4.713280485,5.194236749
0.079181246,0.0118201,0.0234509,4.780216469,5.255031163
0.075546961,0.0002623,0.0139455,4.836336777,5.277150614
0.025305865,0.0159579,0.0197356,4.814946434,5.325104983
0.049218023,0.0159579,0.0197356,4.814946434,5.325104983
0.025305865,0.0160904,0.0423467,4.689530834,5.164650216
0.049218023,0.0013975,0.0131476,4.914258512,5.496929648
0.049218023,0.009611,0.0180639,4.906054761,5.502563669
0.025305865,0.009611,0.0180639,4.906054761,5.502563669
-0.040958608,0.0060498,0.0207022,4.861163878,5.409256652
0.089905111,0.0061889,0.0224756,4.856160735,5.371067862
0,0.0430108,0.0379497,4.815783558,5.394276527
0.049218023,0.129479,0.0466379,4.86284666,5.451939869
0.025305865,0.129479,0.0466379,4.86284666,5.451939869
0.008600172,0.0414442,0.0360678,4.707757478,5.113609151
0.008600172,0.0414442,0.0360678,4.707757478,5.113609151
0.049218023,0.0414442,0.0360678,4.707757478,5.113609151
0.025305865,0.1058741,0.062553,4.63818964,5.059941888
-0.022276395,0.1058741,0.062553,4.63818964,5.059941888
0.008600172,0.1058741,0.062553,4.63818964,5.059941888
-0.022276395,0.2013907,0.053199,4.657466994,5.040206628
0.025305865,0.0399834,0.0287831,4.686403868,5.042181595
0.025305865,0.0399834,0.0287831,4.686403868,5.042181595
0.008600172,0.0399834,0.0287831,4.686403868,5.042181595
-0.022276395,0.0399834,0.0287831,4.686403868,5.042181595
-0.022276395,0.201043,0.0684898,4.617419747,5.044931546
0.025305865,0.201043,0.0684898,4.617419747,5.044931546
0.025305865,0.1095007,0.0659936,4.60260252,4.945960704
-0.022276395,0.1095007,0.0659936,4.60260252,4.945960704
0.008600172,0.0458751,0.0465341,4.625065389,4.991226076
0.025305865,0.1953666,0.1388848,4.598484095,4.980911938
0.025305865,0.1953666,0.1388848,4.598484095,4.980911938
-0.022276395,0.1953666,0.1388848,4.598484095,4.980911938
0.025305865,0.0026281,0.0849037,4.552449189,4.810904281
-0.022276395,0.0108808,0.0434402,4.593363613,4.948412966
0.008600172,0.0108808,0.0434402,4.593363613,4.948412966
0.025305865,0.0292064,0.0259011,4.740212635,5.142076461
0.008600172,0.0292064,0.0259011,4.740212635,5.142076461
0.071882007,0.0550422,0.0735619,4.59488955,4.983626287
0,0.0550422,0.0735619,4.59488955,4.983626287
-0.045757491,0.0644616,0.0365812,4.791234365,5.232233521
-0.022276395,0.0644616,0.0365812,4.791234365,5.232233521
-0.040958608,0.9816579,0.09763,4.617304451,4.911157609
0.029383778,0.5597082,0.0444408,4.687894435,4.978180517
0.025305865,0.5597082,0.0444408,4.687894435,4.978180517
0.008600172,0.1735384,0.0725547,4.574898989,4.943988875
0.025305865,0.0019082,0.067086,4.540504659,5.121231455
0.025305865,0.0019082,0.067086,4.540504659,5.121231455
0.025305865,0.0575308,0.0282084,4.596696038,4.977723605
0.049218023,0.0295152,0.0220388,4.747240853,5.162265614
-0.022276395,0.0606916,0.0202933,4.75629371,5.172894698
0.025305865,0.0606916,0.0202933,4.75629371,5.172894698
-0.022276395,0.0047142,0.0234694,4.806105323,5.276231958
-0.017728767,0.0047142,0.0234694,4.806105323,5.276231958
-0.040958608,0.0532435,0.0289966,4.812264772,5.279666944
-0.022276395,0.123247,0.0632239,4.681205045,5.053846427
-0.022276395,0.123247,0.0632239,4.681205045,5.053846427
-0.040958608,0.2120887,0.147196,4.496209838,4.838849091
0.021189299,0.0078827,0.055336,4.639765304,4.943988875
0.025305865,0.0078827,0.055336,4.639765304,4.943988875
0.008600172,0.0467958,0.0336062,4.651064692,5.063333359
0.008600172,0.047774,0.0248612,4.727988334,5.160768562
0.025305865,0.2784675,0.187528,4.510008513,4.843855423
-0.017728767,0.0468705,0.0613623,4.632386423,4.943494516
-0.022276395,0.0560676,0.0456208,4.75722896,5.114944416
0.008600172,0.114207,0.0698809,4.599402682,4.980457892
0.025305865,0.114207,0.0698809,4.599402682,4.980457892
0.049218023,0.0911294,0.0762732,4.623476718,4.981365509
-0.070581074,0.0911294,0.0762732,4.623476718,4.981365509
0.025305865,0.0911294,0.0762732,4.623476718,4.981365509
-0.022276395,0.0703755,0.0523969,4.696356389,5.040206628
-0.022276395,0.0703755,0.0523969,4.696356389,5.040206628
-0.022276395,0.6156687,0.3244063,4.305695229,4.530199698
0.008600172,0.4716138,0.3382175,4.299529089,4.550228353
-0.022276395,0.0075611,0.0324015,4.65710368,5.001300933
0.008600172,0.208941,0.0766652,4.567273455,4.903632516
-0.022276395,0.208941,0.0766652,4.567273455,4.903632516
0.008600172,0.208941,0.0766652,4.567273455,4.903632516
0.008600172,0.208941,0.0766652,4.567273455,4.903632516
-0.022276395,0.208941,0.0766652,4.567273455,4.903632516
0.004321374,0.0702827,0.0343892,4.667163327,5.059941888
0.100370545,0.0702827,0.0343892,4.667163327,5.059941888
0.049218023,0.0702827,0.0343892,4.667163327,5.059941888
0.025305865,0.0702827,0.0343892,4.667163327,5.059941888
0.053078443,0.0374786,0.067419,4.533492434,5.006466042
0.004321374,0.0058357,0.0395137,4.69167371,5.158362492
0.089905111,0,0.0173754,4.730176424,5.162265614
0.025305865,0.3612089,0.0921622,4.564677898,4.919078092
0.025305865,0.3612089,0.0921622,4.564677898,4.919078092
0.025305865,0.0645478,0.1094265,4.525174428,4.962842681
0.025305865,0.0398538,0.0624887,4.593319303,5.044931546
0.049218023,0.0398538,0.0624887,4.593319303,5.044931546
-0.070581074,0.0632467,0.1619619,4.458320509,5.042181595
0.008600172,0.252626,0.1596074,4.513683617,4.848189117
0.025305865,0.252626,0.1596074,4.513683617,4.848189117
-0.050609993,0.1380891,0.111178,4.556278373,4.82672252
-0.022276395,0.1380891,0.111178,4.556278373,4.82672252
0.025305865,0.1064563,0.1088802,4.550081524,4.927370363
0.008600172,0.1064563,0.1088802,4.550081524,4.927370363
0.008600172,0.1064563,0.1088802,4.550081524,4.927370363
0.025305865,0.1064563,0.1088802,4.550081524,4.927370363
0.037426498,0.6073325,0.2838884,4.409442787,4.825426118
0.025305865,0.6073325,0.2838884,4.409442787,4.825426118
0.086359831,0.6073325,0.2838884,4.409442787,4.825426118
0.086359831,0.6073325,0.2838884,4.409442787,4.825426118
0.089905111,0.6073325,0.2838884,4.409442787,4.825426118
0.021189299,0.160128,0.0593957,4.701386631,5.102776615
-0.022276395,0.0692627,0.0289506,4.747792329,5.165837625
0.079181246,0.111835,0.0160362,4.760965013,5.309630167
0.025305865,0.0146843,0.0205882,4.842571799,5.385427515
-0.022276395,0.0657143,0.0837864,4.614443711,5.22762965
0.008600172,0.0657143,0.0837864,4.614443711,5.22762965
0.008600172,0.0657143,0.0837864,4.614443711,5.22762965
0.025305865,0.0657143,0.0837864,4.614443711,5.22762965
0.025305865,0.5695518,0.2096856,4.436083099,4.791690649
-0.031517051,0.0734964,0.0336309,4.649315383,5.049605613
0,0.0734964,0.0336309,4.649315383,5.049605613
0.025305865,0.0734964,0.0336309,4.649315383,5.049605613
0.037426498,0.0190911,0.0384186,4.71221182,5.160468531
0.025305865,0.0190911,0.0384186,4.71221182,5.160468531
0.017033339,0.0190911,0.0384186,4.71221182,5.160468531
0.017033339,0.3688891,0.1153317,4.571534147,5.011147361
0.008600172,0.3688891,0.1153317,4.571534147,5.011147361
0.025305865,0.0726936,0.0297103,4.797156702,5.255754787
0.008600172,0.0726936,0.0297103,4.797156702,5.255754787
0.008600172,0.1362687,0.1549544,4.563872486,5.033021445
0.017033339,0.1362687,0.1549544,4.563872486,5.033021445
0.025305865,0.0024945,0.0453767,4.61414815,5.127104798
0.037426498,0.0024945,0.0453767,4.61414815,5.127104798
0.089905111,0.0045422,0.0456026,4.618309641,5.104828404
0.025305865,0.0862337,0.0718378,4.506559147,5.039017322
0.025305865,0.0013052,0.0349272,4.62075009,5.115277591
0.037426498,0.0060946,0.0380384,4.661878913,5.204933522
0.079181246,0.0060946,0.0380384,4.661878913,5.204933522
0.025305865,0.0060946,0.0380384,4.661878913,5.204933522
0.025305865,0,0.0401401,4.801252744,5.493736802
-0.022276395,0.0173525,0.1702234,4.474172541,5.164650216
0.025305865,0.0076008,0.0502619,4.66932618,5.156851901
0.037426498,0.0076008,0.0502619,4.66932618,5.156851901
0.049218023,0.0076008,0.0502619,4.66932618,5.156851901
0.025305865,0.011629,0.0309036,4.723562385,5.219584526
0.025305865,0.0231497,0.0225605,4.805534839,5.275080898
0.041392685,0.0231497,0.0225605,4.805534839,5.275080898
0.053078443,0.0231497,0.0225605,4.805534839,5.275080898
-0.040958608,0.0231497,0.0225605,4.805534839,5.275080898
0.037426498,0.0231497,0.0225605,4.805534839,5.275080898
0.049218023,0.0646623,0.0381158,4.714380061,5.207365037
0.173186268,0.0646623,0.0381158,4.714380061,5.207365037
-0.040958608,0.0646623,0.0381158,4.714380061,5.207365037
0.025305865,0.0464232,0.0228436,4.815172483,5.361916619
0.049218023,0.0443038,0.0263239,4.706581244,5.19368103
0.049218023,0.0175085,0.0592482,4.714170433,5.240798771
0.008600172,0.0626876,0.0301999,4.751602394,5.23325001
0.008600172,0.1732801,0.0288357,4.749164092,5.229425848
0.012837225,0.1732801,0.0288357,4.749164092,5.229425848
0.025305865,0.1732801,0.0288357,4.749164092,5.229425848
-0.022276395,0.1732801,0.0288357,4.749164092,5.229425848
0.025305865,0.0319995,0.0213687,4.747038729,5.220369632
-0.040958608,0.1120184,0.1464824,4.524551895,5.100715087
0.025305865,0.1120184,0.1464824,4.524551895,5.100715087
0.021189299,0.0118853,0.0750053,4.588630202,5.03702788
-0.022276395,0.0425708,0.0235555,4.711562606,5.18582536
0.029383778,0.2369736,0.0373703,4.779401664,5.214843848
0.10720997,0.018886,0.0623847,4.653087033,5.134177108
0.025305865,0.1092738,0.0269086,4.756932635,5.249442961
0.025305865,0.1092738,0.0269086,4.756932635,5.249442961
-0.008773924,0.0218909,0.0715815,4.642325999,5.089198367
-0.008773924,0.0218909,0.0715815,4.642325999,5.089198367
0.004321374,0.0144756,0.0652374,4.560958186,4.943494516
-0.008773924,0.0427765,0.0727119,4.578444364,5.018700499
-0.060480747,0.0427765,0.0727119,4.578444364,5.018700499
-0.060480747,0.0073235,0.0360799,4.626853415,5.046885191
0.021189299,0.0084183,0.0369217,4.699829057,5.15075644
-0.060480747,0.0133469,0.0510291,4.585065737,4.99343623
0.004321374,0.0133469,0.0510291,4.585065737,4.99343623
0.012837225,0.0036328,0.0581477,4.554028576,5.021189299
0.012837225,0,0.0887433,4.589323945,5.050379756
-0.026872146,0.153981,0.3404654,4.277907045,4.692846919
-0.040958608,0.153981,0.3404654,4.277907045,4.692846919
-0.008773924,0.0343853,0.0821592,4.566684917,4.959041392
0.004321374,0.0343853,0.0821592,4.566684917,4.959041392
-0.060480747,0.0343853,0.0821592,4.566684917,4.959041392
-0.008773924,0.0343853,0.0821592,4.566684917,4.959041392
0.004321374,0.0343853,0.0821592,4.566684917,4.959041392
-0.060480747,0.011649,0.0321562,4.664613774,5.057285644
0,0.0026857,0.1216933,4.446537167,4.645422269
-0.022276395,0.001853,0.0877029,4.536356398,4.81756537
-0.050609993,0.0021295,0.0346845,4.641939884,5.03702788
-0.050609993,0,0.109913,4.443403817,4.745855195
-0.022276395,0,0.109913,4.443403817,4.745855195
-0.050609993,0.0106243,0.1832357,4.420863021,4.692846919
-0.050609993,0.0216164,0.1457786,4.508098577,4.809559715
-0.026872146,0,0.10523,4.487619087,4.822168079
-0.022276395,0.00283,0.0748924,4.489015783,4.841984805
0.004321374,0.0023693,0.127441,4.46375865,4.717670503
-0.022276395,0,0.0849315,4.52757835,4.823474229
0.021189299,0.0089542,0.004298,4.776127071,5.237292338
0.021189299,0.0103555,0.0429921,4.610990016,5.063333359
-0.013228266,0.0103555,0.0429921,4.610990016,5.063333359
-0.026872146,0.0008917,0.011649,4.820510152,5.322012439
-0.022276395,0.0094937,0.0504995,4.588697387,5.065579715
-0.022276395,0.007889,0.024632,4.77295215,5.240798771
-0.026872146,0.0370746,0.0263158,4.746314976,5.160768562
0.021189299,0.0544514,0.0502634,4.63918756,5.070407322
-0.026872146,0.0166479,0.0504494,4.665543469,5.058805487
0.021189299,0.0145029,0.0928655,4.733068804,5.200576927
0.021189299,0.0577932,0.0381418,4.682515107,5.090258053
-0.075720714,0.0577932,0.0381418,4.682515107,5.090258053
0.021189299,0.0092423,0.0341204,4.660599889,5.117933835
0.021189299,0.0442396,0.0142377,4.690532749,5.13481437
-0.013228266,0.0267276,0.0422458,4.711714457,5.202488317
0.017033339,0.0523678,0.040337,4.671043183,5.124178055
0.021189299,0.0523678,0.040337,4.671043183,5.124178055
-0.013228266,0.0115231,0.0308797,4.654753933,5.010723865
-0.13667714,0.0221449,0.0413478,4.609039182,4.981365509
0.012837225,0.0084763,0.034907,4.669363376,5.078456818
-0.026872146,0.0618702,0.0446208,4.63394289,4.994317153
-0.013228266,0.1210589,0.0359122,4.660514487,5.09725731
0.004321374,0.1210589,0.0359122,4.660514487,5.09725731
-0.040958608,0.1855296,0.0707771,4.606058749,4.983626287
-0.022276395,0.1855296,0.0707771,4.606058749,4.983626287
-0.036212173,0.1855296,0.0707771,4.606058749,4.983626287
0.021189299,0.1855296,0.0707771,4.606058749,4.983626287
-0.045757491,0.0393387,0.0237512,4.724988184,5.152899596
0.021189299,0.0393387,0.0237512,4.724988184,5.152899596
-0.026872146,0.0055684,0.066641,4.549652991,4.940516485
0.053078443,0.0302522,0.0251859,4.734415753,5.150449409
0.045322979,0.0302522,0.0251859,4.734415753,5.150449409
-0.013228266,0.0475331,0.0198634,4.845327535,5.343999069
-0.022276395,0.0568067,0.065327,4.577836341,5.012837225
0.021189299,0.0338346,0.0366492,4.921056682,5.2929203
-0.013228266,0.0224585,0.02757,4.707783013,5.151676231
0.021189299,0.0224585,0.02757,4.707783013,5.151676231
-0.040958608,0.0224585,0.02757,4.707783013,5.151676231
0.021189299,0.0346725,0.0077434,4.626319833,5.009875634
-0.013228266,0.0392693,0.0364045,4.67198696,5.084933575
-0.022276395,0.0392693,0.0364045,4.67198696,5.084933575
0.045322979,0.0297277,0.0167543,4.7374471,5.188084374
-0.022276395,0.0588402,0.0573621,4.60836555,4.992111488
-0.013228266,0.0588402,0.0573621,4.60836555,4.992111488
-0.013228266,0.0588402,0.0573621,4.60836555,4.992111488
0.008600172,0.0010225,0.0251025,4.573764819,5.074450719